"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"243","Darius Clark (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"244","A.J. Rose (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"245","Nate McCrary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"246","Josh Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"247","Adam Prentice (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"248","Tre Harbison (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"249","Garrett Groshek (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"250","B.J. Emmons (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"251","Carl Tucker (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"252","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"253","Dedrick Mills (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"254","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"255","JaQuan Hardy (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"256","Tory Carter (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"257","Brenden Knox (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"258","Kenneth Gainwell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"259","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Gary Brightwell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"261","Gerrid Doaks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"262","Mason Stokke (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"263","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"264","Andre Anderson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"265","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"266","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"267","Stevan Ridley (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"268","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"269","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"270","Chris Ivory (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"271","LeGarrette Blount (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"272","Rodney Stewart (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"273","Travaris Cadet (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"274","Jamize Olawale (DAL)","0","0","0","0","0","0","0","2","0","0","0","0","16","0.0","0.0","0.0%"
"275","DuJuan Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"276","Nick Bellore (SEA)","0","0","0","0","0","0","2","2","23","11.5","1","0","14","0.0","0.0","0.0%"
"277","Isaac Odim (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"278","Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"279","Lamar Miller (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"280","Robert Turbin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"281","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"282","Jonathan Stewart (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"283","Javarris Williams (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"284","Jamaal Charles (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"285","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"286","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"287","Mike Bell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"288","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"289","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"290","Matt Lawrence (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"291","Marcus Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"292","Marcus Mailei (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"293","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"294","Alex Collins (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"295","Kenneth Dixon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"296","D.J. Foster (FA)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"297","Darius Jackson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Michael Burton (KC)","0","0","0","0","0","0","0","1","0","0","0","0","11","0.0","0.0","0.0%"
"299","Rod Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"300","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Justin Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"302","Khalfani Muhammad (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"303","Patrick Ricard (BAL)","0","0","0","0","0","0","8","11","47","5.9","1","0","16","0.0","0.0","0.1%"
"304","J.P. Holtz (CHI)","0","0","0","0","0","0","7","8","91","13.0","0","0","15","0.0","0.0","0.0%"
"305","Cethan Carter (MIA)","0","0","0","0","0","0","2","3","13","6.5","1","0","15","0.0","0.0","0.0%"
"306","Elijah McGuire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Joe Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"308","Jeremy McNichols (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"309","Tre Madden (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"310","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"311","Jeremy Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"312","Carlin Isles (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"313","Derrick Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"314","Tyler Gaffney (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Jerick McKinnon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"316","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"317","Cordarrelle Patterson (ATL)","17","103","6.1","46","1","0","11","17","83","7.5","0","0","16","0.0","0.0","2.0%"
"318","Tommy Bohanon (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Christine Michael (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"320","Mike Gillislee (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"321","Theo Riddick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Jeremy Langford (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"323","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"324","Cameron Artis-Payne (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"325","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"326","David Fluellen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"327","Otis Anderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"328","Corey Clement (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","4","-4.0","-1.0","0.1%"
""
""
