"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"68","Jacquizz Rodgers (FA)","33","106","3.2","20","1","1","38","45","304","8.0","0","1","16","64.0","4.0","0.0%"
"69","Ty Montgomery (NO)","41","188","4.6","16","0","1","25","40","235","9.4","0","1","13","58.7","4.5","0.4%"
"70","Bilal Powell (FA)","80","343","4.3","38","2","0","11","18","110","10.0","1","1","7","54.8","7.8","0.0%"
"71","Kapri Bibbs (FA)","21","103","4.9","15","0","3","16","23","115","7.2","1","0","12","53.8","4.5","0.1%"
"72","Zach Zenner (FA)","55","265","4.8","29","1","3","7","10","56","8.0","0","0","8","53.6","6.7","0.0%"
"73","Justin Jackson (LAC)","50","206","4.1","20","1","2","15","19","135","9.0","0","0","13","53.6","4.1","3.0%"
"74","Darren Sproles (FA)","29","120","4.1","17","0","1","15","23","160","10.7","2","0","6","53.5","8.9","0.1%"
"75","Chase Edmonds (ARI)","60","208","3.5","29","2","2","20","23","103","5.2","0","0","16","53.1","3.3","89.5%"
"76","Kyle Juszczyk (SF)","8","30","3.8","12","0","0","30","40","324","10.8","1","2","16","52.4","3.3","1.1%"
"77","Jordan Wilkins (IND)","60","336","5.6","53","1","1","16","17","85","5.3","0","2","16","52.1","3.3","0.2%"
"78","Kenneth Dixon (FA)","60","333","5.6","37","2","2","6","7","51","8.5","0","1","6","51.4","8.6","0.1%"
"79","Rex Burkhead (HOU)","57","186","3.3","12","0","0","14","20","131","9.4","1","1","8","42.7","5.3","0.7%"
"80","Jay Ajayi (FA)","45","184","4.1","20","1","3","5","6","20","4.0","0","1","4","40.9","10.2","0.0%"
"81","Trenton Cannon (CAR)","38","113","3.0","21","1","1","17","25","144","8.5","0","0","16","40.2","2.5","0.0%"
"82","Jeff Wilson Jr. (SF)","66","266","4.0","18","0","0","12","15","98","8.2","0","2","6","38.4","6.4","4.6%"
"83","Wayne Gallman (SF)","51","176","3.5","9","0","1","14","22","89","6.4","0","1","15","37.5","2.5","2.9%"
"84","Malcolm Brown (MIA)","43","212","4.9","19","0","0","5","7","52","10.4","1","0","12","36.9","3.1","2.4%"
"85","James Develin (FA)","6","8","1.3","2","0","4","12","18","61","5.1","0","0","16","36.9","2.3","0.0%"
"86","Raheem Mostert (SF)","34","261","7.7","52","2","1","6","7","25","4.2","0","1","9","35.6","4.0","87.6%"
"87","Kalen Ballage (PIT)","36","191","5.3","75","1","1","9","11","56","6.2","0","1","12","33.2","2.8","0.3%"
"88","Marcus Murphy (FA)","52","250","4.8","30","1","0","11","19","26","2.4","0","0","11","33.1","3.0","0.0%"
"89","Rod Smith (NYG)","44","127","2.9","14","0","1","9","12","60","6.7","0","0","16","29.2","1.8","0.0%"
